group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,Besiktas,https://img.a.transfermarkt.technology/wappen/tiny/114.png?lm=4711,0,,,,0:0,0,0,
,2,H. Beer Sheva,https://img.a.transfermarkt.technology/wappen/tiny/2976.png?lm=4711,0,,,,0:0,0,0,
,3,Juventus,https://img.a.transfermarkt.technology/wappen/tiny/506.png?lm=4711,0,,,,0:0,0,0,
,4,Levski Sofia,https://img.a.transfermarkt.technology/wappen/tiny/156.png?lm=4711,0,,,,0:0,0,0,
,5,Marseille,https://img.a.transfermarkt.technology/wappen/tiny/244.png?lm=4711,0,,,,0:0,0,0,
,6,NK Celje,https://img.a.transfermarkt.technology/wappen/tiny/710.png?lm=4711,0,,,,0:0,0,0,
,7,Olympiacos,https://img.a.transfermarkt.technology/wappen/tiny/683.png?lm=4711,0,,,,0:0,0,0,
,8,Omonia Nicosia,https://img.a.transfermarkt.technology/wappen/tiny/829.png?lm=4711,0,,,,0:0,0,0,
,9,Sturm Graz,https://img.a.transfermarkt.technology/wappen/tiny/122.png?lm=4711,0,,,,0:0,0,0,
,10,AZ Alkmaar,https://img.a.transfermarkt.technology/wappen/tiny/1090.png?lm=4711,0,,,,0:0,0,0,
,11,Ferencváros,https://img.a.transfermarkt.technology/wappen/tiny/279.png?lm=4711,0,,,,0:0,0,0,
,12,NEC Nijmegen,https://img.a.transfermarkt.technology/wappen/tiny/467.png?lm=4711,0,,,,0:0,0,0,
,13,Salzburg,https://img.a.transfermarkt.technology/wappen/tiny/409.png?lm=4711,0,,,,0:0,0,0,
,14,Stade Rennais,https://img.a.transfermarkt.technology/wappen/tiny/273.png?lm=4711,0,,,,0:0,0,0,
,15,Benfica,https://img.a.transfermarkt.technology/wappen/tiny/294.png?lm=4711,0,,,,0:0,0,0,
,16,Dinamo Zagreb,https://img.a.transfermarkt.technology/wappen/tiny/419.png?lm=4711,0,,,,0:0,0,0,
,17,Real Sociedad,https://img.a.transfermarkt.technology/wappen/tiny/681.png?lm=4711,0,,,,0:0,0,0,
,18,Sparta Prague,https://img.a.transfermarkt.technology/wappen/tiny/197.png?lm=4711,0,,,,0:0,0,0,
,19,Celta de Vigo,https://img.a.transfermarkt.technology/wappen/tiny/940.png?lm=4711,0,,,,0:0,0,0,
,20,OFI Crete,https://img.a.transfermarkt.technology/wappen/tiny/653.png?lm=4711,0,,,,0:0,0,0,
,21,Union SG,https://img.a.transfermarkt.technology/wappen/tiny/3948.png?lm=4711,0,,,,0:0,0,0,
,22,Leverkusen,https://img.a.transfermarkt.technology/wappen/tiny/15.png?lm=4711,0,,,,0:0,0,0,
,23,Lillestrøm SK,https://img.a.transfermarkt.technology/wappen/tiny/353.png?lm=4711,0,,,,0:0,0,0,
,24,Torreense,https://img.a.transfermarkt.technology/wappen/tiny/2432.png?lm=4711,0,,,,0:0,0,0,
,25,Viktoria Plzeň,https://img.a.transfermarkt.technology/wappen/tiny/941.png?lm=4711,0,,,,0:0,0,0,
,26,Ararat-Armenia,https://img.a.transfermarkt.technology/wappen/tiny/53453.png?lm=4711,0,,,,0:0,0,0,
,27,Hoffenheim,https://img.a.transfermarkt.technology/wappen/tiny/533.png?lm=4711,0,,,,0:0,0,0,
,28,AC Milan,https://img.a.transfermarkt.technology/wappen/tiny/5.png?lm=4711,0,,,,0:0,0,0,
,29,Lech Poznan,https://img.a.transfermarkt.technology/wappen/tiny/238.png?lm=4711,0,,,,0:0,0,0,
,30,RSC Anderlecht,https://img.a.transfermarkt.technology/wappen/tiny/58.png?lm=4711,0,,,,0:0,0,0,
,31,Bournemouth,https://img.a.transfermarkt.technology/wappen/tiny/989.png?lm=4711,0,,,,0:0,0,0,
,32,Celtic,https://img.a.transfermarkt.technology/wappen/tiny/371.png?lm=4711,0,,,,0:0,0,0,
,33,Crystal Palace,https://img.a.transfermarkt.technology/wappen/tiny/873.png?lm=4711,0,,,,0:0,0,0,
,34,Jagiellonia,https://img.a.transfermarkt.technology/wappen/tiny/2300.png?lm=4711,0,,,,0:0,0,0,
,35,Lyon,https://img.a.transfermarkt.technology/wappen/tiny/1041.png?lm=4711,0,,,,0:0,0,0,
,36,Sunderland,https://img.a.transfermarkt.technology/wappen/tiny/289.png?lm=4711,0,,,,0:0,0,0,
